id,ticker,date,open,high,low,close,adj_close,volume
4668,AMZN,2024-07-08,200.0400,201.2000,197.9600,199.2900,199.2900,34767300
4669,AMZN,2024-07-09,199.4000,200.5700,199.0500,199.3400,199.3400,32700100
4670,AMZN,2024-07-10,200.0000,200.1100,197.6900,199.7900,199.7900,32883800
4671,AMZN,2024-07-11,200.0900,200.2700,192.8600,195.0500,195.0500,44565000
4672,AMZN,2024-07-12,194.8000,196.4700,193.8300,194.4900,194.4900,30598500
4673,AMZN,2024-07-15,194.5600,196.1900,190.8300,192.7200,192.7200,40683200
4674,AMZN,2024-07-16,195.5900,196.6200,192.2400,193.0200,193.0200,33994700
4675,AMZN,2024-07-17,191.3500,191.5800,185.9900,187.9300,187.9300,48076100
4676,AMZN,2024-07-18,189.5900,189.6800,181.4500,183.7500,183.7500,51043600
4677,AMZN,2024-07-19,181.1400,184.9300,180.1100,183.1300,183.1300,43081800
4678,AMZN,2024-07-22,185.0000,185.0600,182.4800,182.5500,182.5500,39931900
4679,AMZN,2024-07-23,184.1000,189.3900,183.5600,186.4100,186.4100,47537700
4680,AMZN,2024-07-24,183.2000,185.4500,180.4100,180.8300,180.8300,41532400
4681,AMZN,2024-07-25,182.9100,183.9000,176.8000,179.8500,179.8500,44464200
4682,AMZN,2024-07-26,180.3900,183.1900,180.2400,182.5000,182.5000,29506000
4683,AMZN,2024-07-29,183.8400,184.7500,182.3800,183.2000,183.2000,33270100
4684,AMZN,2024-07-30,184.7200,185.8600,179.3800,181.7100,181.7100,39508600
4685,AMZN,2024-07-31,185.0500,187.9400,184.4600,186.9800,186.9800,41667300
4686,AMZN,2024-08-01,189.2900,190.6000,181.8700,184.0700,184.0700,70435600
4687,AMZN,2024-08-02,166.7500,168.7700,160.5500,167.9000,167.9000,141448400
4688,AMZN,2024-08-05,154.2100,162.9600,151.6100,161.0200,161.0200,83149400
4689,AMZN,2024-08-06,161.7100,165.0800,158.5400,161.9300,161.9300,59950800
4690,AMZN,2024-08-07,166.5500,167.5800,161.4300,162.7700,162.7700,48408200
4691,AMZN,2024-08-08,165.1700,166.6900,162.5500,165.8000,165.8000,44616200
4692,AMZN,2024-08-09,166.4000,168.5500,165.8500,166.9400,166.9400,36401000
4693,AMZN,2024-08-12,168.1400,168.5500,166.1100,166.8000,166.8000,30072800
4694,AMZN,2024-08-13,167.8100,171.0400,167.1000,170.2300,170.2300,39237900
4695,AMZN,2024-08-14,172.1100,172.2800,168.8600,170.1000,170.1000,28843800
4696,AMZN,2024-08-15,174.8600,177.9100,173.9900,177.5900,177.5900,51698500
4697,AMZN,2024-08-16,177.0400,178.3400,176.2600,177.0600,177.0600,31489200
4698,AMZN,2024-08-19,177.6400,178.3000,176.1600,178.2200,178.2200,31129800
4699,AMZN,2024-08-20,177.9200,179.0100,177.4300,178.8800,178.8800,26255200
4700,AMZN,2024-08-21,179.9200,182.3900,178.8900,180.1100,180.1100,35599100
4701,AMZN,2024-08-22,181.3800,181.4700,175.6800,176.1300,176.1300,32047500
